epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4904,1.78222,3.63167,1.38296,0.00694,0.875,0.04164,0.02235,1.39994,3.22991,1.17497,0.00035007,0.00035007,0.00035007
2,16.4384,1.48032,1.91739,1.13273,0.74806,0.3125,0.55245,0.35405,1.29165,2.48255,1.09621,0.000702617,0.000702617,0.000702617
3,20.2464,1.39857,1.58686,1.08418,0.50714,0.68475,0.5584,0.39068,1.28408,1.59841,1.10719,0.00104064,0.00104064,0.00104064
4,24.0154,1.34019,1.46726,1.07283,0.4837,0.7288,0.54247,0.36639,1.28131,1.49623,1.09139,0.00136414,0.00136414,0.00136414
5,27.6584,1.35537,1.38683,1.09221,0.51668,0.70978,0.54249,0.32132,1.28221,1.73985,1.13218,0.00153497,0.00153497,0.00153497
6,31.4364,1.38316,1.37515,1.0989,0.46103,0.66071,0.58575,0.36516,1.30292,1.85062,1.14762,0.00150197,0.00150197,0.00150197
7,35.2124,1.34228,1.28466,1.07667,0.74099,0.55952,0.61866,0.4293,1.21141,1.42742,1.14225,0.00146896,0.00146896,0.00146896
8,39.0124,1.33321,1.24413,1.06742,0.61265,0.67875,0.75335,0.50314,1.30175,1.48345,1.13382,0.00143595,0.00143595,0.00143595
9,42.8074,1.2721,1.1425,1.04978,0.88353,0.63181,0.76758,0.50681,1.28745,1.1414,1.17945,0.00140295,0.00140295,0.00140295
10,46.5334,1.24473,1.09249,1.03959,0.72791,0.76233,0.74381,0.53353,1.11053,1.33413,1.0948,0.00136994,0.00136994,0.00136994
11,50.2894,1.19647,1.07184,1.01993,0.75605,0.82738,0.84893,0.56492,1.27507,1.09564,1.17589,0.00133693,0.00133693,0.00133693
12,54.1434,1.17484,1.03708,1.04196,0.91594,0.82738,0.83564,0.55587,1.18112,0.94862,1.17001,0.00130393,0.00130393,0.00130393
13,57.8649,1.21484,0.99148,1.06168,0.8448,0.82315,0.85921,0.59164,1.22787,0.86123,1.11709,0.00127092,0.00127092,0.00127092
14,61.7439,1.14374,0.93104,1.01965,0.77609,0.74107,0.81215,0.59702,1.13355,1.05955,1.08962,0.00123791,0.00123791,0.00123791
15,65.5249,1.17078,0.95017,1.01665,0.85638,0.71209,0.8342,0.52165,1.2812,1.10609,1.15278,0.00120491,0.00120491,0.00120491
16,69.2929,1.21793,0.9454,1.02444,0.7926,0.73811,0.74476,0.49531,1.31075,1.27381,1.1612,0.0011719,0.0011719,0.0011719
17,73.0169,1.16234,0.94534,1.03526,0.73597,0.78869,0.76404,0.51334,1.33857,1.19368,1.15211,0.00113889,0.00113889,0.00113889
18,76.8509,1.1148,0.92677,1.02749,0.88445,0.58333,0.71102,0.51366,1.20115,1.27783,1.08314,0.00110589,0.00110589,0.00110589
19,80.6389,1.14775,0.86232,1.01521,0.81741,0.60725,0.69197,0.50258,1.27673,1.50649,1.11363,0.00107288,0.00107288,0.00107288
20,84.5019,1.11941,0.89121,1.03331,0.88519,0.60714,0.74815,0.52215,1.21486,1.33521,1.10581,0.00103987,0.00103987,0.00103987
21,88.276,1.06696,0.85794,0.99986,0.82379,0.74107,0.84795,0.59099,1.12458,1.02745,1.03953,0.00100687,0.00100687,0.00100687
22,92.068,1.05905,0.8491,0.97748,0.78963,0.80357,0.84328,0.62139,1.11541,0.90542,1.06164,0.000973861,0.000973861,0.000973861
23,95.729,1.07192,0.79852,0.98444,0.85892,0.78572,0.87683,0.61285,1.19122,0.89312,1.10224,0.000940855,0.000940855,0.000940855
24,99.486,1.0869,0.80525,0.97833,0.83221,0.7804,0.86492,0.61499,1.06769,0.85736,1.06214,0.000907848,0.000907848,0.000907848
25,103.17,1.05168,0.79093,1.00201,0.81662,0.83369,0.92679,0.64589,1.15209,0.84811,1.08051,0.000874842,0.000874842,0.000874842
26,106.974,1.08503,0.79863,1.0028,0.81746,0.69345,0.8685,0.61696,1.13508,0.99407,1.07551,0.000841835,0.000841835,0.000841835
27,110.75,1.05524,0.80847,0.98606,0.77289,0.69345,0.80158,0.57493,1.15355,1.17281,1.08991,0.000808828,0.000808828,0.000808828
28,114.556,1.04754,0.73109,0.98334,0.79903,0.77482,0.85896,0.60333,1.18284,0.90474,1.08513,0.000775822,0.000775822,0.000775822
29,118.303,1.0665,0.783,0.99621,0.7571,0.77443,0.87504,0.61606,1.16708,1.01653,1.07427,0.000742815,0.000742815,0.000742815
30,121.999,1.04652,0.75705,0.97566,0.82831,0.80632,0.89531,0.62372,1.12592,0.83296,1.06168,0.000709809,0.000709809,0.000709809
31,125.82,0.99806,0.74479,0.99174,0.79858,0.88185,0.9132,0.6289,1.11887,0.82409,1.06419,0.000676802,0.000676802,0.000676802
32,129.506,1.01143,0.72447,0.97616,0.88954,0.75595,0.90104,0.63988,1.01864,0.81542,1.02672,0.000643795,0.000643795,0.000643795
33,133.238,1.02548,0.74343,0.99732,0.87775,0.77976,0.87193,0.62744,1.0562,0.79342,1.01379,0.000610789,0.000610789,0.000610789
34,136.996,0.98031,0.70183,0.96695,0.86725,0.82738,0.91092,0.64932,1.0505,0.7578,1.01878,0.000577782,0.000577782,0.000577782
35,140.672,0.98701,0.71285,0.95253,0.86329,0.78357,0.91598,0.66238,1.07574,0.81453,1.02323,0.000544776,0.000544776,0.000544776
36,144.497,0.98583,0.70359,0.9599,0.83347,0.7916,0.89648,0.62911,1.14554,0.83553,1.03586,0.000511769,0.000511769,0.000511769
37,148.311,0.97268,0.70337,0.96453,0.85431,0.76501,0.90577,0.64363,1.11782,0.86864,1.04137,0.000478762,0.000478762,0.000478762
38,152.068,0.95279,0.66917,0.95584,0.79213,0.83941,0.92012,0.66645,1.13228,0.86609,1.03855,0.000445756,0.000445756,0.000445756
39,155.73,0.9732,0.67339,0.97325,0.81051,0.78883,0.91716,0.66231,1.03999,0.8859,1.02191,0.000412749,0.000412749,0.000412749
40,159.54,1.00335,0.69967,0.9519,0.88769,0.76273,0.93499,0.6574,1.06123,0.81036,1.02376,0.000379743,0.000379743,0.000379743
