epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.436,1.73238,3.444,1.39497,0.00605,0.85119,0.03488,0.01876,1.42389,3.15194,1.21507,0.00035007,0.00035007,0.00035007
2,16.407,1.52972,1.77281,1.19343,0.61254,0.30655,0.6051,0.33483,1.34597,2.15115,1.15728,0.000702617,0.000702617,0.000702617
3,20.164,1.38972,1.50359,1.12731,0.51983,0.65315,0.6096,0.36818,1.34807,1.5555,1.21816,0.00104064,0.00104064,0.00104064
4,23.89,1.41106,1.43142,1.14609,0.5637,0.67319,0.58526,0.36358,1.40279,1.35846,1.23157,0.00136414,0.00136414,0.00136414
5,27.678,1.45244,1.39187,1.20153,0.76784,0.54991,0.68335,0.42702,1.34134,1.27487,1.25933,0.00153497,0.00153497,0.00153497
6,31.4051,1.42465,1.34311,1.16576,0.63956,0.66391,0.71756,0.461,1.36114,1.44268,1.15329,0.00150197,0.00150197,0.00150197
7,35.178,1.29821,1.2495,1.12085,0.89654,0.58158,0.76743,0.54113,1.25319,1.12983,1.1646,0.00146896,0.00146896,0.00146896
8,38.7731,1.31518,1.29016,1.13182,0.88359,0.45527,0.70704,0.4462,1.38325,1.50207,1.20716,0.00143595,0.00143595,0.00143595
9,42.557,1.32439,1.20244,1.11399,0.75828,0.77443,0.79107,0.54409,1.20064,1.13054,1.10237,0.00140295,0.00140295,0.00140295
10,46.339,1.2756,1.12736,1.12182,0.86706,0.72563,0.82497,0.59636,1.2184,1.05354,1.13161,0.00136994,0.00136994,0.00136994
11,50.076,1.20238,1.07523,1.10105,0.81462,0.80627,0.79956,0.55571,1.2459,1.04897,1.14957,0.00133693,0.00133693,0.00133693
12,53.792,1.275,1.0836,1.12346,0.91925,0.73744,0.8153,0.54779,1.30754,1.05698,1.21368,0.00130393,0.00130393,0.00130393
13,57.43,1.21705,1.01388,1.08548,0.86926,0.74951,0.76063,0.51759,1.331,1.36341,1.15933,0.00127092,0.00127092,0.00127092
14,61.099,1.22604,1.07846,1.09426,0.87291,0.81205,0.81887,0.57428,1.23827,0.94483,1.11594,0.00123791,0.00123791,0.00123791
15,64.714,1.20547,0.97515,1.08791,0.86517,0.80357,0.80784,0.57606,1.21952,0.95778,1.12307,0.00120491,0.00120491,0.00120491
16,68.354,1.23213,1.03538,1.07882,0.87618,0.78564,0.83105,0.5485,1.28002,0.9652,1.17327,0.0011719,0.0011719,0.0011719
17,72.001,1.20403,0.97319,1.09304,0.78114,0.82738,0.82616,0.55867,1.19535,0.94558,1.11178,0.00113889,0.00113889,0.00113889
18,75.802,1.15184,0.93695,1.05451,0.72336,0.81927,0.80271,0.55786,1.19841,1.01835,1.12717,0.00110589,0.00110589,0.00110589
19,79.551,1.15923,0.91877,1.06555,0.84886,0.85119,0.82989,0.56409,1.15037,0.90841,1.10234,0.00107288,0.00107288,0.00107288
20,83.164,1.12572,0.89878,1.04706,0.90242,0.81963,0.84474,0.59007,1.10827,0.88196,1.10482,0.00103987,0.00103987,0.00103987
21,86.805,1.09525,0.83414,1.04323,0.92026,0.84589,0.85488,0.63022,1.07822,0.86555,1.06451,0.00100687,0.00100687,0.00100687
22,90.465,1.08069,0.80427,1.01444,0.88744,0.74107,0.81665,0.58607,1.06815,0.98557,1.05795,0.000973861,0.000973861,0.000973861
23,94.1632,1.07354,0.83798,1.03088,0.83793,0.73271,0.80142,0.56871,1.09807,1.04454,1.0686,0.000940855,0.000940855,0.000940855
24,97.8942,1.10172,0.8397,1.03705,0.83051,0.74848,0.81095,0.58021,1.20609,0.93515,1.13878,0.000907848,0.000907848,0.000907848
25,101.532,1.0792,0.81443,1.01201,0.89834,0.78067,0.85479,0.60451,1.12842,0.86497,1.07074,0.000874842,0.000874842,0.000874842
