epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8504,0.5848,3.09337,1.07104,0.42229,0.10682,0.2451,0.20896,0.66414,2.69963,0.94844,0.000329004,0.000329004,0.000329004
2,28.7374,0.62078,2.56389,1.07972,0.18639,0.4896,0.23708,0.17706,0.852,2.40002,1.19948,0.000655781,0.000655781,0.000655781
3,39.3048,0.64869,2.36948,1.09792,0.19018,0.46098,0.22513,0.15703,0.83668,2.24709,1.15891,0.000975957,0.000975957,0.000975957
4,49.9598,0.67566,2.1591,1.10161,0.23481,0.37349,0.2734,0.19763,0.90475,2.11504,1.20718,0.0009703,0.0009703,0.0009703
5,60.5828,0.66495,2.10805,1.09876,0.25132,0.46808,0.29507,0.21834,0.85865,1.92004,1.11883,0.0009604,0.0009604,0.0009604
6,71.2329,0.67271,2.02325,1.09854,0.21297,0.52201,0.30995,0.21065,0.98345,2.11716,1.15996,0.0009505,0.0009505,0.0009505
7,81.7289,0.67237,1.96839,1.10737,0.42146,0.32707,0.27678,0.17899,0.96685,2.23963,1.1729,0.0009406,0.0009406,0.0009406
8,92.2868,0.63195,1.91722,1.0587,0.10239,0.48754,0.11527,0.07456,0.88786,2.87004,1.10544,0.0009307,0.0009307,0.0009307
9,102.807,0.62855,1.9002,1.05562,0.2662,0.49003,0.34472,0.24606,0.84342,1.84355,1.08911,0.0009208,0.0009208,0.0009208
10,113.345,0.59932,1.84443,1.05235,0.24844,0.7226,0.34993,0.26914,0.83442,1.77685,1.06727,0.0009109,0.0009109,0.0009109
11,123.951,0.61321,1.79813,1.04997,0.29193,0.5267,0.36668,0.28654,0.76218,1.79906,1.05226,0.000901,0.000901,0.000901
12,134.557,0.60996,1.74096,1.05631,0.23189,0.62795,0.32195,0.25949,0.79718,1.79597,1.07038,0.0008911,0.0008911,0.0008911
13,145.058,0.57988,1.69916,1.02741,0.27855,0.58589,0.33456,0.26108,0.75389,1.70065,1.03649,0.0008812,0.0008812,0.0008812
14,155.681,0.59146,1.68924,1.02744,0.29927,0.50669,0.33602,0.25118,0.83197,1.79165,1.09508,0.0008713,0.0008713,0.0008713
15,166.419,0.58361,1.61678,1.0368,0.39104,0.46409,0.39334,0.30358,0.79541,1.83863,1.05514,0.0008614,0.0008614,0.0008614
16,177.111,0.56173,1.58968,1.02059,0.25626,0.66817,0.36119,0.2663,0.82142,1.70037,1.0628,0.0008515,0.0008515,0.0008515
17,187.717,0.55898,1.50629,1.00141,0.3019,0.65368,0.41929,0.30359,0.83716,1.61154,1.08841,0.0008416,0.0008416,0.0008416
18,198.374,0.5574,1.47884,0.98941,0.27371,0.5825,0.39361,0.30075,0.81702,1.67635,1.06851,0.0008317,0.0008317,0.0008317
19,208.97,0.55045,1.44078,1.02208,0.28467,0.56477,0.38074,0.30107,0.77469,1.7296,1.07475,0.0008218,0.0008218,0.0008218
20,219.55,0.52604,1.38633,0.98555,0.32929,0.65707,0.49491,0.37066,0.86089,1.58852,1.10207,0.0008119,0.0008119,0.0008119
21,230.184,0.53931,1.3784,0.99905,0.27321,0.56881,0.33955,0.24232,0.86202,1.76615,1.09313,0.000802,0.000802,0.000802
22,240.758,0.50695,1.35825,0.98899,0.39085,0.55913,0.44709,0.33531,0.82964,1.75148,1.09916,0.0007921,0.0007921,0.0007921
23,251.35,0.49673,1.2937,0.96416,0.3609,0.5432,0.46173,0.35667,0.79021,1.79005,1.06474,0.0007822,0.0007822,0.0007822
24,261.985,0.51845,1.26007,0.98396,0.26754,0.6827,0.42256,0.30579,0.83828,1.89953,1.08601,0.0007723,0.0007723,0.0007723
25,272.707,0.50831,1.2283,0.96068,0.41496,0.54604,0.5051,0.39815,0.79747,1.64169,1.04854,0.0007624,0.0007624,0.0007624
26,283.295,0.47731,1.19944,0.95815,0.26907,0.55245,0.38365,0.2896,0.88889,1.80258,1.12241,0.0007525,0.0007525,0.0007525
27,293.907,0.48964,1.18965,0.96428,0.34289,0.52715,0.41205,0.30522,0.84062,1.77089,1.09136,0.0007426,0.0007426,0.0007426
28,304.478,0.48886,1.17328,0.9684,0.38514,0.52362,0.4262,0.31742,0.76438,1.73316,1.05641,0.0007327,0.0007327,0.0007327
29,315.051,0.49253,1.2113,0.97836,0.328,0.50467,0.41341,0.3185,0.78949,2.07972,1.04495,0.0007228,0.0007228,0.0007228
30,325.584,0.46031,1.11706,0.93984,0.43771,0.47015,0.50105,0.40549,0.74975,1.50882,1.06294,0.0007129,0.0007129,0.0007129
31,336.099,0.46348,1.11773,0.94652,0.46793,0.48712,0.53049,0.41356,0.76455,1.38711,1.09528,0.000703,0.000703,0.000703
32,346.62,0.45849,1.05668,0.95193,0.498,0.55291,0.56565,0.46422,0.74373,1.29164,1.05702,0.0006931,0.0006931,0.0006931
33,357.114,0.42825,1.00014,0.93657,0.61124,0.46806,0.52235,0.44093,0.68958,1.35292,0.98571,0.0006832,0.0006832,0.0006832
34,367.566,0.45155,0.96157,0.93973,0.52439,0.44015,0.52755,0.42361,0.7608,1.42551,1.04964,0.0006733,0.0006733,0.0006733
35,378.168,0.43555,0.99022,0.94127,0.58622,0.43832,0.55819,0.44156,0.74036,1.31039,1.05956,0.0006634,0.0006634,0.0006634
36,388.751,0.45061,0.94505,0.95708,0.39147,0.59051,0.53588,0.44546,0.64413,1.47262,0.96352,0.0006535,0.0006535,0.0006535
37,399.317,0.42864,0.99417,0.9337,0.50626,0.4987,0.53845,0.44874,0.67757,1.29701,1.00033,0.0006436,0.0006436,0.0006436
38,409.831,0.44516,0.89582,0.95533,0.52744,0.50841,0.56436,0.46344,0.67326,1.21513,1.00477,0.0006337,0.0006337,0.0006337
39,420.394,0.41582,0.86712,0.92367,0.7301,0.50589,0.63974,0.51902,0.6683,1.18758,0.99779,0.0006238,0.0006238,0.0006238
40,430.867,0.42896,0.85969,0.9389,0.64499,0.4186,0.55573,0.45889,0.7011,1.35359,0.99852,0.0006139,0.0006139,0.0006139
41,441.508,0.43137,0.84265,0.92678,0.61883,0.52951,0.56079,0.4626,0.69665,1.30401,1.00674,0.000604,0.000604,0.000604
42,452.111,0.42118,0.79866,0.93358,0.50838,0.56069,0.56077,0.4451,0.67932,1.33926,0.99162,0.0005941,0.0005941,0.0005941
43,462.735,0.42486,0.81465,0.93855,0.46289,0.52522,0.50394,0.42245,0.67644,1.48247,0.99406,0.0005842,0.0005842,0.0005842
44,473.314,0.41253,0.86293,0.9156,0.60718,0.52097,0.59232,0.49935,0.66835,1.23575,0.99645,0.0005743,0.0005743,0.0005743
45,483.831,0.41875,0.79521,0.92037,0.66074,0.50437,0.52711,0.42999,0.66475,1.4055,0.97912,0.0005644,0.0005644,0.0005644
46,494.512,0.40526,0.81797,0.92739,0.56628,0.62611,0.64298,0.53918,0.65869,1.13726,0.98418,0.0005545,0.0005545,0.0005545
47,505.18,0.38579,0.73087,0.91994,0.66851,0.56047,0.61947,0.53439,0.61394,1.1847,0.9571,0.0005446,0.0005446,0.0005446
48,515.855,0.37905,0.76752,0.9271,0.70541,0.57602,0.66204,0.57424,0.68216,1.18603,1.00314,0.0005347,0.0005347,0.0005347
49,526.433,0.37331,0.70829,0.91372,0.69667,0.60063,0.63232,0.52361,0.69947,1.25562,1.00919,0.0005248,0.0005248,0.0005248
50,536.975,0.37999,0.72904,0.89928,0.66502,0.54207,0.59348,0.49527,0.70735,1.29526,1.02395,0.0005149,0.0005149,0.0005149
51,547.6,0.37041,0.73851,0.9089,0.80319,0.43834,0.57735,0.49035,0.71718,1.24631,1.01924,0.000505,0.000505,0.000505
52,558.221,0.35767,0.67217,0.89298,0.76479,0.52892,0.66929,0.55719,0.70276,1.1196,1.01087,0.0004951,0.0004951,0.0004951
53,568.754,0.35694,0.66107,0.8967,0.61866,0.6503,0.68843,0.56526,0.68907,1.14551,0.97964,0.0004852,0.0004852,0.0004852
54,579.337,0.36334,0.63013,0.88573,0.63836,0.63888,0.66033,0.55046,0.62047,1.05042,0.95477,0.0004753,0.0004753,0.0004753
55,589.748,0.37863,0.62471,0.90441,0.8083,0.52903,0.67694,0.56546,0.62407,1.04594,0.9595,0.0004654,0.0004654,0.0004654
56,600.24,0.3407,0.63604,0.89377,0.843,0.47553,0.65004,0.53767,0.64828,1.18989,0.98569,0.0004555,0.0004555,0.0004555
57,610.892,0.35721,0.61683,0.89182,0.73503,0.52211,0.6527,0.52731,0.65807,1.1645,0.98767,0.0004456,0.0004456,0.0004456
58,621.498,0.35124,0.60334,0.912,0.72017,0.66923,0.66802,0.55733,0.65229,1.10337,0.99365,0.0004357,0.0004357,0.0004357
59,632.057,0.34321,0.62036,0.896,0.73462,0.50095,0.6269,0.51227,0.63247,1.17664,0.97295,0.0004258,0.0004258,0.0004258
60,642.685,0.34671,0.58499,0.88865,0.79699,0.54437,0.61329,0.52125,0.64612,1.16987,0.98923,0.0004159,0.0004159,0.0004159
61,653.267,0.32802,0.55869,0.9033,0.68146,0.52184,0.55715,0.49125,0.67399,1.25272,1.0229,0.000406,0.000406,0.000406
62,663.928,0.33504,0.53128,0.89528,0.73808,0.56582,0.62338,0.54024,0.64701,1.19593,0.99167,0.0003961,0.0003961,0.0003961
63,674.52,0.32796,0.55296,0.89783,0.75991,0.54377,0.64123,0.564,0.65385,1.15595,0.98973,0.0003862,0.0003862,0.0003862
64,685.111,0.3238,0.50679,0.89825,0.76573,0.52725,0.63806,0.54092,0.63102,1.1772,0.99212,0.0003763,0.0003763,0.0003763
65,695.685,0.32469,0.52302,0.89083,0.73191,0.55992,0.65538,0.55631,0.62299,1.03684,0.97982,0.0003664,0.0003664,0.0003664
66,706.253,0.31965,0.49066,0.89098,0.78527,0.5445,0.64317,0.53875,0.60056,1.03992,0.96926,0.0003565,0.0003565,0.0003565
67,716.968,0.3123,0.50185,0.89374,0.69029,0.58155,0.63098,0.52472,0.62262,1.16541,0.98712,0.0003466,0.0003466,0.0003466
68,727.553,0.32056,0.50182,0.89132,0.77383,0.62258,0.66904,0.56962,0.61755,1.04283,0.99342,0.0003367,0.0003367,0.0003367
69,738.101,0.31476,0.47798,0.87952,0.68206,0.56439,0.63747,0.55742,0.63956,1.09804,1.00164,0.0003268,0.0003268,0.0003268
70,748.678,0.31333,0.46982,0.88105,0.64036,0.57254,0.6024,0.51986,0.63089,1.18704,0.97473,0.0003169,0.0003169,0.0003169
71,759.264,0.30251,0.47239,0.88741,0.69166,0.55575,0.64049,0.56589,0.60709,1.0941,0.96198,0.000307,0.000307,0.000307
72,769.894,0.30747,0.47493,0.89698,0.79275,0.49294,0.65047,0.5816,0.59572,1.05935,0.96061,0.0002971,0.0002971,0.0002971
73,780.494,0.31644,0.4574,0.89454,0.56568,0.59954,0.65391,0.55439,0.59145,1.17694,0.96409,0.0002872,0.0002872,0.0002872
74,791.079,0.30963,0.4294,0.87833,0.6793,0.62322,0.66155,0.56646,0.59919,1.11971,0.96217,0.0002773,0.0002773,0.0002773
75,801.666,0.31264,0.48057,0.88496,0.64288,0.754,0.72493,0.60254,0.59873,0.98366,0.95344,0.0002674,0.0002674,0.0002674
76,812.239,0.29606,0.43685,0.87851,0.56704,0.64977,0.67581,0.55289,0.61145,1.08895,0.96626,0.0002575,0.0002575,0.0002575
77,822.759,0.29812,0.43143,0.87182,0.61757,0.67057,0.68704,0.57725,0.58355,1.01219,0.9454,0.0002476,0.0002476,0.0002476
78,833.292,0.29887,0.42608,0.88171,0.62887,0.62939,0.66499,0.55744,0.60556,1.07332,0.96009,0.0002377,0.0002377,0.0002377
79,843.739,0.2831,0.40833,0.88489,0.67682,0.60316,0.65052,0.55297,0.5777,1.05937,0.9493,0.0002278,0.0002278,0.0002278
80,854.421,0.286,0.41559,0.8746,0.80982,0.50022,0.66185,0.58617,0.59777,1.00071,0.96631,0.0002179,0.0002179,0.0002179
